Beer Name,Brewery,Beer Style,ABV
Pabst Blue Ribbon,Pabst Brewing Company,Lager - North American Adjunct,5
Pacific Coast Strawberry,Cider Brothers,Cider,6.5
Paint Creek Porter,Rochester Mills Beer Co.,Porter - Other,5.6
Paint Creek Tangerine Wheat,51 North Brewing Company,Pale Wheat Ale - American,5.7
Pale Ale,Founders Brewing Co.,Pale Ale - American,5.4
Pale Ale 2.0,Stone Brewing Company,Pale Ale - American,6
Palo Santo Marron,Dogfish Head Craft Brewery,Brown Ale - Imperial / Double,12
Papa Burgundy,Short's Brewing Company,Dunkelweizen,5.5
Pappy's Porter,Royal Oak Brewery,Porter - Other,7.5
Paradigm,Rockford Brewing Company (Michigan),Pale Ale - American,6
Paranormal Imperial Pumpkin Ale,Flying Monkeys Craft Brewery,Pumpkin / Yam Beer,10.5
Patersbier,Homebrew,Abbey Ale,0
Peacemaker,Austin Beerworks,Pale Ale - American,5
Peach Hard Cider,Dogfish Head Craft Brewery,Cider,0
Peanut Butter CEO,Right Brain Brewery,Stout - Other,5.5
Peanut Butter Chocolate Milk Stout,The Hideout Brewing Company,Stout - Milk / Sweet,5.6
Pecan Pie Porter (2015),Clown Shoes,Porter - American,8
Péché Mortel,Brasserie Dieu du Ciel!,Stout - American Imperial / Double,9.5
Peppermint Victory At Sea,Ballast Point Brewing & Spirits,Porter - Imperial / Double,10
Perikles,Omnipollo,Pilsner - Other,4.3
Pilgrim's Dole,New Holland Brewing Company,Wheat Wine,12
Pineapple Rye Saison,Tenacity Brewing,Saison / Farmhouse Ale,4.6
Pinner Throwback IPA,Oskar Blues Brewery,IPA - Session / India Session Ale,4.9
Pistil,Magic Hat Brewing Company,Herbed / Spiced Beer,4.5
Pixie Stick,Starcut Ciders,Cider,4.7
Platinum Blonde,Griffin Claw Brewing Company,Lager - Pale,4.5
Pleszures Pale Ale,Rochester Mills Beer Co.,Pale Ale - American,6.1
Pliny the Elder,Russian River Brewing Company,IPA - Imperial / Double,8
Plow Horse,Brewery Vivant,Stout - Other,9.5
Points Unknown IPA,Stone Brewing Company,IPA - Imperial / Double,9.5
Poop Your Pants,Perrin Brewing Co.,Bock,6
Porter,Founders Brewing Co.,Porter - American,6.5
Porter Rico,Arcadia Brewing Company (Arcadia Ales),Porter - Other,5.5
Positive Contact,Dogfish Head Craft Brewery,Fruit Beer,9
Pothole Stout,Brewery Vivant,Stout - Other,6.3
Potlatch,Prairie Artisan Ales,Saison / Farmhouse Ale,7
Power Wagon Wheat Wine,Big Sky Brewing Company,Wheat Wine,11
Premium Remix Post-Colonial Style Ale,Omnipollo,Pale Ale - Belgian,7
Presidente,Cerveceria Nacional Dominicana,Pilsner - Other,5
Primordial Porter,Original Gravity Brewing Company,Porter - Other,6
Pripyat,Sherwood Brewing Company,Stout - Russian Imperial,0
Project PAM,Founders Brewing Co.,IPA - Black / Cascadian Dark Ale,10.8
Prolonged Enjoyment,Short's Brewing Company,IPA - Session / India Session Ale,3.5
Psychopomp,Brewery Vivant,Brown Ale - Belgian,6.2
Pub Ale,Boddington's Brewery,English Bitter,4.7
Pumpkick,New Belgium Brewing Company,Pumpkin / Yam Beer,6
Pumpkin Ale,Wasatch Brewery,Pumpkin / Yam Beer,4
Pumpkin Spice Latte,Atwater Brewery,Pumpkin / Yam Beer,6.8
Purple Prose,Grimm Artisanal Ales,Sour Ale,5.4
Quad (2012),Weyerbacher Brewing Company,Belgian Quad,11.8
Ranger,New Belgium Brewing Company,IPA - American,6.5
Rapunzel,Arcadia Brewing Company (Arcadia Ales),IPA - White,5.8
Raspberry Blonde,Woodward Avenue Brewers,Lager - Pale,5
Razzberry Blonde,Perrin Brewing Co.,Fruit Beer,4.8
Reactor,Tapistry Brewing,IPA - American,7.3
Red,Axle Brewing Company,Red Ale - Irish,5.2
Red Stripe,Desnoes & Geddes,Lager - North American Adjunct,4.7
Red's Rye IPA,Founders Brewing Co.,Rye Beer / Rye IPA,6.6
Redbridge,Anheuser-Busch,Gluten-Free,4
Redwing Raspberry Wheat,Dragonmead Microbrewery,Pale Wheat Ale - American,4.5
Reserve Special Black Ale,Dark Horse Brewing Co.,Porter - Other,7.5
Ridgy Didge,Brooklyn Brewery,Saison / Farmhouse Ale,8.4
Right Hand Red,ThumbCoast Brewing Company,Red Ale - American Amber / Red,5.7
River Bank Brown,Tenacity Brewing,Brown Ale - American,5.5
Roaka Cadabra,Roak Brewing Co.,Brown Ale - Belgian,6.6
Roasted Serrano Peach Mead,Sherwood Brewing Company,Mead,7
Robert Earl Keen Honey Pils,Pedernales Brewing Company,Pilsner - Other,5
Robert The Barrel Brown,B.O.B.'s Brewery,Stout - Russian Imperial,11.3
Rood Red,Tilted Axis Brewing Company,Flanders Red Ale,7
Rosalynn Bliss Blonde,Grand Rapids Brewing Company,Blonde Ale,5.2
Royal IPA,Bastone Brewery,IPA - American,6.75
Royal Oak Red,Royal Oak Brewery,Red Ale - American Amber / Red,5.5
Royal Pride IPA,Royal Oak Brewery,IPA - American,6.2
Rueuze,The Bruery,Gueuze,5.9
Ryan and The Beaster Bunny,Evil Twin Brewing,Saison / Farmhouse Ale,7
Rye-Heart(well) Bock,Grand Rapids Brewing Company,Bock,7.8
S'muttonator,Smuttynose Brewing Co.,Doppelbock ,8.5
Sagarnoa,Cidrerie Txopinondo,Cider,6
Saison Dupont,Brasserie Dupont,Saison / Farmhouse Ale,6.5
Saison St. Clair,Griffin Claw Brewing Company,Saison / Farmhouse Ale,7.5
Salted Caramel Brownie Brown Ale,New Belgium Brewing Company,Brown Ale - American,6.3
Samael's Oak-Aged Ale (2015),Avery Brewing Company,Strong Ale - English,14.6
Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams),Lager -  Vienna / Amber,4.9
Samuel Adams Cold Snap,Boston Beer Company (Samuel Adams),Witbier,5.3
Samuel Adams Escape Route,Boston Beer Company (Samuel Adams),Kölsch,5
Samuel Adams Harvest Saison,Boston Beer Company (Samuel Adams),Saison / Farmhouse Ale,6
Samuel Adams Honey Queen,Boston Beer Company (Samuel Adams),Braggot,7.5
Samuel Adams Latitude 48 IPA (Old Recipe),Boston Beer Company (Samuel Adams),IPA - American,6
Samuel Adams New World,Boston Beer Company (Samuel Adams),Belgian Tripel,10
Samuel Adams Nitro Coffee Stout,Boston Beer Company (Samuel Adams),Stout - American,5.8
Samuel Adams OctoberFest,Boston Beer Company (Samuel Adams),Märzen,5.3
Samuel Adams Porch Rocker,Boston Beer Company (Samuel Adams),Radler,4.5
Samuel Adams Rebel IPA,Boston Beer Company (Samuel Adams),IPA - American,6.5
Samuel Adams Rebel Rider IPA,Boston Beer Company (Samuel Adams),IPA - Session / India Session Ale,4.5
Samuel Adams Rebel Rouser,Boston Beer Company (Samuel Adams),IPA - Imperial / Double,8.4
Samuel Adams Ruby Mild,Boston Beer Company (Samuel Adams),English Mild Ale,5.6
Samuel Adams Summer Ale,Boston Beer Company (Samuel Adams),Pale Wheat Ale - American,5.3
Samuel Adams Winter Lager,Boston Beer Company (Samuel Adams),Lager - Winter,5.6
Sapient Trip Ale,Dark Horse Brewing Co.,Belgian Tripel,9.5
ScareCity #2: Rye Cocoa Porter,Lagunitas Brewing Company,Porter - Imperial / Double,10.19
Schnuggebock,Brauerei Locher,Maibock/Helles Bock,5.2
Schraderbrau Oktoberfest,Black Lotus Brewery,Märzen,5.8
Scottish Ale,Red Rock Brewing Co.,Scottish Ale,4
Screamin' Pumpkin,Griffin Claw Brewing Company,Pumpkin / Yam Beer,5
Sculpin IPA,Ballast Point Brewing & Spirits,IPA - American,7
Scurvy Dan Blood Orange IPA,Falling Down Beer Company,IPA - American,7.5
Senator Lyon's Stout,Grand Rapids Brewing Company,Stout - Irish Dry,5.7
Shiner Bock,Spoetzl Brewery,Bock,4.4
Shiner Bohemian Black Lager (Shiner 97),Spoetzl Brewery,Lager - Black,4.9
Shiner Kosmos Reserve,Spoetzl Brewery,Lager - Pale,4.98
Shiner Premium,Spoetzl Brewery,Lager - Pale,4.5
Shiner Prickly Pear,Spoetzl Brewery,Fruit Beer,4.9
Shiner Wild Hare Pale Ale,Spoetzl Brewery,Pale Ale - American,5.5
Siamese Goat,Frankenmuth Brewery,Doppelbock ,7.8
Sin Eater,Dragonmead Microbrewery,Belgian Strong Dark Ale,11
Sin-Tax Imperial Stout (Peanut Butter),Mother Earth Brew Co. (California),Stout - American Imperial / Double,8.1
Singapore IPA,Saugatuck Brewing Company,IPA - American,7
Singel,Hardywood Park Craft Brewery,Blonde Ale - Belgian Blonde / Golden,6.2
Single Chair,Magic Hat Brewing Company,Golden Ale,5
Single Origin,Perrin Brewing Co.,Golden Ale,3.9
Single Speed,4 Hands Brewing Co.,Blonde Ale,5
Sinister Vertigo Imperial Stout,Odd Side Ales,Stout - Russian Imperial,9.5
Sir Dunkle Crisp Dark Lager,"Berghoff Brewery, Inc.",Lager - Dunkel Munich,5.5
Sit Down Session,Tenacity Brewing,IPA - Session / India Session Ale,4.5
Ski Patrol,Brewery Vivant,Witbier,6.1
Skinny Dipper Golden Ale,ThumbCoast Brewing Company,Golden Ale,5.9
Sky High Rye,Arcadia Brewing Company (Arcadia Ales),Rye Beer / Rye IPA,6
Smokey CEO Stout,Right Brain Brewery,Smoked Beer,5.5
Smooth Operator,Right Brain Brewery,Cream Ale,3.8
Snake Dog IPA,Flying Dog Brewery,IPA - American,7.1
Snapshot,New Belgium Brewing Company,Pale Wheat Ale - American,5
Sno White Ale,MIP BEER,Witbier,4.8
Snow Drift Winter Ale,Royal Oak Brewery,Winter Ale,7.5
Snow Roller,Magic Hat Brewing Company,Brown Ale - American,6.2
Snowbank Chocolate Honey Black Rye,51 North Brewing Company,Rye Beer / Rye IPA,8
Sobek & Set,Finch's Beer Company,IPA - Black / Cascadian Dark Ale,8
Soft Parade,Short's Brewing Company,Fruit Beer,7.5
Sonnet ,Southern Tier Brewing Company,Saison / Farmhouse Ale,8.5
Sotto Voce,Greenbush Brewing Company,Pale Wheat Ale - American,6.3
Space Rock,Short's Brewing Company,Pale Ale - American,5
Spaceboy Stout,B.O.B.'s Brewery,Stout - Oatmeal,6
Sparkleberry,"Bell's Brewery, Inc.",Fruit Beer,8.3
Special Double Cream Stout,"Bell's Brewery, Inc.",Stout - American,6.1
Spruce Pilsner,Short's Brewing Company,Pilsner - Imperial / Double,7
St. Bernardus Tripel,Brouwerij St. Bernardus,Belgian Tripel,8
St. Pauli Girl Lager,Brauerei Beck,Lager - Helles,4.9
Standard,Prairie Artisan Ales,Saison / Farmhouse Ale,5.6
Starburst Wheat,Saugatuck Brewing Company,Witbier,5.1
Stealin' Time,Magic Hat Brewing Company,Pale Wheat Ale - American,5.5
Steely Danzig,Short's Brewing Company,Brown Ale - Belgian,5.5
Stella Artois,Stella Artois,Lager - Euro,5.2
Stellar Ale,Short's Brewing Company,IPA - American,5.3
Stereovision,Flying Monkeys Craft Brewery,Pale Wheat Ale - American,5.5
Stochasticity Project: Quadrotriticale,Stone Brewing Company,Belgian Quad,9.3
Stone Saison,Stone Brewing Company,Saison / Farmhouse Ale,6
Stone Smoked Porter w/Chocolate & Orange Peel,Stone Brewing Company,Smoked Beer,5.9
Strawberry Blonde,ABC Brewpub,Fruit Beer,7.7
Stroker Ace,Short's Brewing Company,IPA - American,4
Strutter,Bitter Old Fecker Rustic Ales,IPA - American,10.2
Summer Ale,Goose Island Beer Co.,Pale Ale - American,5
Summer Shandy,Jacob Leinenkugel Brewing Company,Radler,4.2
Summer Wonder,Kuhnhenn Brewing Company ,Bock,13
Summershine Wheat,Fenton Winery & Brewery,Pale Wheat Ale - American,5
Sundog Amber Ale,New Holland Brewing Company,Red Ale - American Amber / Red,6
Sweep The Leg - Peanut Butter Stout,Infamous Brewing Company,Stout - American,8
Tangerine Dream,Ellison Brewery + Spirits,Cream Ale,4.5
Tangier,Southern Tier Brewing Company,IPA - Session / India Session Ale,4.6
Ten FIDY,Oskar Blues Brewery,Stout - American Imperial / Double,10.5
ThaIPA,Black Lotus Brewery,IPA - Imperial / Double,9
The Abyss,Deschutes Brewery,Stout - American Imperial / Double,11
The Bennie,Granite City Food & Brewery,Bock,5.5
The Birds And the Bees,Tilted Axis Brewing Company,Cyser,13.5
The Carhartt Woodsman,New Holland Brewing Company,Pale Ale - American,4.5
The Fishladder,Grand Rapids Brewing Company,IPA - American,7.5
The Fluffer: Session IPA,Kuhnhenn Brewing Company ,IPA - Session / India Session Ale,4.5
The Gimli,Black Lotus Brewery,Extra Special / Strong Bitter,6.3
The Hump,Harsens Island Brewery,Maibock/Helles Bock,6.3
The John Ball Brown,Grand Rapids Brewing Company,Brown Ale - American,6.2
The Kaiser Imperial Oktoberfest,Avery Brewing Company,Märzen,9.73
"The Kimmie, The Yink & The Holy Gose Ale",Anderson Valley Brewing Company,Gose,4.2
The Matador Version 2.0 El Toro Bravo,Flying Monkeys Craft Brewery,Rye Beer / Rye IPA,10.1
The Mechanic Baltic Porter,Dutch Girl Brewery,Porter - Baltic,7.2
Third Coast Old Ale,"Bell's Brewery, Inc.",Barleywine - American,10.2
Third Rail Tripel Lemon,Griffin Claw Brewing Company,Belgian Tripel,9
Thirsty Goat Amber,Thirsty Planet Brewing Company,Red Ale - American Amber / Red,6.5
Thrash Punk Kolsch,Witch's Hat Brewing Co.,Kölsch,5
Thunder Trail,Arcadia Brewing Company (Arcadia Ales),Extra Special / Strong Bitter,6
Tongue Tied Cherry Saison,Rochester Mills Beer Co.,Saison / Farmhouse Ale,5.75
Torpedo Extra IPA,Sierra Nevada Brewing Co.,IPA - American,7.2
Totally Roasted,Vander Mill,Cider,6.9
Toxic Sludge,Blue Point Brewing Company,IPA - Black / Cascadian Dark Ale,7
Trap Queen,Tenacity Brewing Co,IPA - American,6
Tree Bucket,Brewery Vivant,IPA - Imperial / Double,9.3
Tres Blueberry Stout,Dark Horse Brewing Co.,Stout - American,7.5
Triomphe,Brewery Vivant,IPA - Belgian,6.5
Tripel Karmeliet,Brouwerij Bosteels,Belgian Tripel,8.4
Tripel Treat,Roak Brewing Co.,Belgian Tripel,9.5
Trippel,New Belgium Brewing Company,Belgian Tripel,8.5
Trois Pistoles,Unibroue,Belgian Strong Dark Ale,9
Tropical Kill All The Golfers,B. Nektar Meadery,Mead,6
Turbodog,Abita Brewing Company,Brown Ale - English,5.6
Tutti Frutti,Griffin Claw Brewing Company,Sour Ale,4
Twenty One,Avery Brewing Company,Brown Ale - Imperial / Double,8.3
Twist of Cain,Short's Brewing Company,Lager - Black,8.8
Two Hearted Ale,"Bell's Brewery, Inc.",IPA - American,7
UFO Big Squeeze Shandy,Harpoon Brewery,Radler,4.5
Uncle Louie's Cocktail,Perrin Brewing Co.,Braggot,6.5
Undead Party Crasher,Clown Shoes,Stout - American Imperial / Double,10
Under the Kilt,Dragonmead Microbrewery,Scotch Ale / Wee Heavy,7.5
Undertaker,Brewery Vivant,Belgian Strong Dark Ale,6.7
Unite Red Ale,MIP BEER,Red Ale - American Amber / Red,4.6
Urthel Samaranth,Microbrouwerij Urthel,Belgian Quad,11.5
Vampire Bunnies,Falling Down Beer Company,Blonde Ale,5
Vanilla Bean Porter,Farmington Brewing Company,Porter - American,6.3
Vanilla Java Porter,Atwater Brewery,Porter - English,4.5
Vanilla Porter,Gonzo's BiggDogg Brewing,Porter - Other,7
Venus: The Bringer of Peace (Planets Series),"Bell's Brewery, Inc.",Blonde Ale,7.5
Vicaris Tripel-Gueuze,Brouwerij Dilewyns,Gueuze,7
Vicious,North Peak Brewing Company,IPA - American,6.7
Violin Monster,ABC Brewpub,Belgian Strong Dark Ale,9.5
Vivant Tripel,Brewery Vivant,Belgian Tripel,8.25
Voodoo Vator Doppelbock,Atwater Brewery,Doppelbock ,9
Wakefire,Blake's Hard Cider Company,Cider,6.5
Wayward Winter Hard Cider,Blake's Hard Cider Company,Cider,6.5
We Be Jammin',Odd Side Ales,Pale Wheat Ale - American,4.5
Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,Hefeweizen,5.4
West Side Wheat,Wolverine State Brewing Co.,Witbier,4.5
Whango,Atwater Brewery,Witbier,4.8
Wheach,O'Fallon Brewery,Fruit Beer,5.1
White Hatter,New Holland Brewing Company,Pale Ale - Belgian,5.5
White Rascal,Avery Brewing Company,Witbier,5.6
Whitsun Ale,Arcadia Brewing Company (Arcadia Ales),Pale Wheat Ale - American,6.2
Widow Maker Black Ale,Keweenaw Brewing Company,Dark Ale,5
Wild Horse Porter,Brooklyn Brewery,Porter - Other,6.5
Wild² (Lips of Faith),New Belgium Brewing Company,Belgian Dubbel,8
Wildflower Mead,B. Nektar Meadery,Mead,14
Wilhelm Scream,Magic Hat Brewing Company,Pumpkin / Yam Beer,5.4
Winter King Altbier,Sherwood Brewing Company,Altbier,5.5
Winter Sun,Tilted Axis Brewing Company,Saison / Farmhouse Ale,6
Winter Wheat,Falling Down Beer Company,Winter Ale,7.1
Winter White Ale,"Bell's Brewery, Inc.",Witbier,5
WIT,Weyerbacher Brewing Company,Witbier,4.6
Wit Happens,Short's Brewing Company,Witbier,4.9
Witface,Bastone Brewery,Witbier,5.25
With Kindness,Perrin Brewing Co.,Barleywine - English,12.8
Wits Organic,Rochester Mills Beer Co.,Witbier,6.1
Wizard Burial Ground,Brewery Vivant,Belgian Quad,10.4
Wizard Burial Ground (2016),Brewery Vivant,Belgian Quad,10.4
Woodchuck Hard Cider Private Reserve Pumpkin,Woodchuck Cidery,Cider,6.9
Woody Stowaway,Right Brain Brewery,Saison / Farmhouse Ale,6
WorldBrew3,Oskar Blues Brewery,Hefeweizen,0
Wowee Zowee,Short's Brewing Company,Fruit Beer,6
Yacht,Stillwater Artisanal Ales,Lager - Pale,4.2
Yes Honey Amber,Fenton Winery & Brewery,Lager - North American Adjunct,5.6
Zaison,Brewery Vivant,Saison / Farmhouse Ale,9
Zombie Killer Cherry Cyser,B. Nektar Meadery,Cyser,7
Zoo Brew,Griffin Claw Brewing Company,Red Ale - American Amber / Red,5.5
